app_id,default_probability,repayment_probability,risk_score,recommendation,confidence,risk_category,top_risk_factors,actual_outcome,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,title,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,issue_d,state
APP-169402,0.4520312146561246,0.5479687853438754,45.20312146561246,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); interest rate (raises risk); home ownership (raises risk),Charged Off,17000.0, 36 months,11.53,560.84,B,B5,1 year,RENT,66000.0,Source Verified,credit_card,Credit card refinancing,13.75,9.0,0.0,13525.0,76.8,17.0,w,INDIVIDUAL,0.0,0.0,Aug-2015,AE
APP-321263,0.30934215581836727,0.6906578441816327,30.934215581836728,APPROVE_WITH_CONDITIONS,Medium,Medium,annual income (lowers risk); loan sub-grade (lowers risk); revolving utilization (raises risk),Fully Paid,11500.0, 36 months,14.3,394.73,C,C1,< 1 year,MORTGAGE,155000.0,Not Verified,debt_consolidation,debtloan,16.66,7.0,0.0,21114.0,82.2,37.0,f,INDIVIDUAL,1.0,0.0,Oct-2013,WI
APP-345818,0.34227310572134334,0.6577268942786567,34.227310572134336,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); interest rate (raises risk); home ownership (raises risk),Fully Paid,12000.0, 36 months,10.99,392.81,B,B3,10+ years,RENT,60000.0,Not Verified,debt_consolidation,Debt consolidation,16.46,7.0,0.0,11180.0,35.5,21.0,f,INDIVIDUAL,0.0,0.0,Oct-2014,IL
APP-263691,0.40560938804510654,0.5943906119548934,40.560938804510656,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); annual income (raises risk); 60-month term (lowers risk),Fully Paid,8000.0, 36 months,13.49,271.45,C,C1,3 years,OWN,30000.0,Verified,debt_consolidation,Bills,14.48,11.0,0.0,6266.0,44.1,21.0,f,INDIVIDUAL,,0.0,Dec-2011,AK
APP-172963,0.6870574458021045,0.3129425541978955,68.70574458021045,REVIEW_MANUAL,Medium,High,loan sub-grade (raises risk); 60-month term (raises risk); interest rate (lowers risk),Fully Paid,16000.0, 60 months,15.99,389.01,D,D2,4 years,RENT,53000.0,Not Verified,debt_consolidation,Unsecured loan,19.15,8.0,0.0,17712.0,80.5,32.0,f,INDIVIDUAL,,0.0,Jun-2011,WV
APP-151026,0.24951327038402935,0.7504867296159706,24.951327038402933,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); home ownership (lowers risk),Fully Paid,20000.0, 36 months,7.26,619.93,A,A4,5 years,MORTGAGE,90000.0,Source Verified,debt_consolidation,Debt consolidation,15.35,14.0,0.0,26554.0,44.3,29.0,w,INDIVIDUAL,1.0,0.0,Dec-2015,TX
APP-170967,0.40481573456490216,0.5951842654350978,40.48157345649022,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); monthly installment (raises risk); interest rate (raises risk),Fully Paid,28000.0, 36 months,11.44,922.53,B,B4,1 year,RENT,81900.0,Source Verified,credit_card,Credit card refinancing,12.21,6.0,0.0,13480.0,67.7,10.0,f,INDIVIDUAL,2.0,0.0,Jan-2015,CO
APP-133339,0.5629224554982497,0.4370775445017503,56.29224554982497,REVIEW_MANUAL,Low,High,loan sub-grade (raises risk); home ownership (raises risk); 60-month term (lowers risk),Fully Paid,4800.0, 36 months,13.99,164.03,C,C4,3 years,RENT,42000.0,Not Verified,other,Other,17.14,14.0,0.0,7601.0,45.2,21.0,f,INDIVIDUAL,0.0,0.0,Jun-2015,WV
APP-111852,0.427769324382389,0.572230675617611,42.7769324382389,APPROVE_WITH_CONDITIONS,Low,Medium,total credit lines (raises risk); debt-to-income ratio (lowers risk); loan sub-grade (lowers risk),Fully Paid,7000.0, 36 months,13.68,238.16,C,C1,2 years,RENT,50000.0,Source Verified,debt_consolidation,Credit Card medical bill consolidation ,11.18,5.0,0.0,6802.0,74.7,5.0,w,INDIVIDUAL,0.0,0.0,Aug-2013,VT
APP-394771,0.35116922079202934,0.6488307792079706,35.116922079202936,APPROVE_WITH_CONDITIONS,Medium,Medium,revolving utilization (lowers risk); loan sub-grade (lowers risk); employment length (raises risk),Fully Paid,18000.0, 36 months,11.99,597.78,C,C1,< 1 year,MORTGAGE,82172.0,Source Verified,car,Car financing,12.71,6.0,0.0,242.0,4.8,31.0,w,INDIVIDUAL,1.0,0.0,Feb-2016,AR
APP-331508,0.4761731023690928,0.5238268976309072,47.61731023690928,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); revolving utilization (raises risk); home ownership (raises risk),Fully Paid,18450.0, 36 months,13.11,622.64,B,B4,5 years,RENT,48000.0,Verified,debt_consolidation,Debt Consolidation Loan,20.55,12.0,0.0,23312.0,82.4,18.0,f,INDIVIDUAL,0.0,0.0,Oct-2012,TN
APP-369019,0.6762626927647907,0.3237373072352093,67.62626927647906,REVIEW_MANUAL,Medium,High,debt-to-income ratio (raises risk); 60-month term (raises risk); open credit lines (raises risk),Fully Paid,18000.0, 60 months,13.33,412.61,C,C3,10+ years,MORTGAGE,61000.0,Source Verified,debt_consolidation,Debt consolidation,34.4,20.0,0.0,20114.0,55.3,30.0,w,INDIVIDUAL,2.0,0.0,May-2015,LA
APP-358330,0.46493492098523553,0.5350650790147644,46.493492098523554,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); debt-to-income ratio (raises risk); interest rate (raises risk),Fully Paid,16000.0, 36 months,10.99,523.75,B,B2,10+ years,RENT,40000.0,Source Verified,credit_card,Credit card refinancing,27.9,19.0,0.0,24551.0,46.1,28.0,w,INDIVIDUAL,0.0,0.0,May-2014,AK
APP-114343,0.30277031965395473,0.6972296803460453,30.277031965395473,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); interest rate (raises risk); home ownership (lowers risk),Fully Paid,21500.0, 36 months,9.17,685.4,B,B1,6 years,MORTGAGE,82680.0,Source Verified,debt_consolidation,Debt consolidation,20.04,8.0,0.0,46621.0,51.3,14.0,f,INDIVIDUAL,0.0,0.0,Oct-2014,MS
APP-173242,0.7330377398112022,0.26696226018879776,73.30377398112023,REJECT,High,High,loan sub-grade (raises risk); 60-month term (raises risk); loan issue year (lowers risk),Fully Paid,8400.0, 60 months,15.57,202.36,D,D5,1 year,RENT,48000.0,Source Verified,debt_consolidation,Debt,11.45,5.0,0.0,11670.0,77.3,13.0,f,INDIVIDUAL,,0.0,Dec-2010,OK
APP-010654,0.36510779215536043,0.6348922078446395,36.51077921553604,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); has bankruptcy record (lowers risk); has public record (raises risk),Fully Paid,10000.0, 36 months,13.05,337.19,B,B5,10+ years,OWN,34000.0,Verified,debt_consolidation,Debt consolidation,14.4,11.0,1.0,11209.0,45.6,37.0,f,INDIVIDUAL,3.0,1.0,Jul-2013,VT
APP-195991,0.28531970943734186,0.7146802905626581,28.531970943734187,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); annual income (lowers risk),Fully Paid,20000.0, 36 months,8.88,634.88,B,B1,9 years,MORTGAGE,150000.0,Verified,credit_card,Credit Card refi,15.26,16.0,0.0,48928.0,53.2,38.0,f,INDIVIDUAL,,0.0,Jan-2011,CA
APP-045263,0.3665329356032797,0.6334670643967203,36.653293560327974,APPROVE_WITH_CONDITIONS,Medium,Medium,debt-to-income ratio (lowers risk); monthly installment (lowers risk); loan sub-grade (lowers risk),Fully Paid,1000.0, 36 months,14.33,34.34,C,C1,10+ years,RENT,32000.0,Source Verified,other,Car Repair,6.83,6.0,0.0,877.0,51.6,10.0,f,INDIVIDUAL,0.0,0.0,Aug-2012,NE
APP-228949,0.7165141253994392,0.28348587460056085,71.65141253994392,REJECT,High,High,loan sub-grade (raises risk); interest rate (lowers risk); 60-month term (raises risk),Fully Paid,12800.0, 60 months,25.49,379.39,E,E4,10+ years,RENT,75986.0,Source Verified,debt_consolidation,Debt consolidation,32.25,17.0,0.0,11730.0,59.5,62.0,f,INDIVIDUAL,1.0,0.0,Oct-2016,ME
APP-050097,0.42005096433243966,0.5799490356675603,42.00509643324396,APPROVE_WITH_CONDITIONS,Low,Medium,debt-to-income ratio (lowers risk); open credit lines (lowers risk); home ownership (raises risk),Fully Paid,8000.0, 36 months,14.47,275.26,C,C2,< 1 year,RENT,45000.0,Not Verified,debt_consolidation,Debt consolidation,6.21,4.0,0.0,6813.0,52.4,11.0,f,INDIVIDUAL,0.0,0.0,Dec-2013,IL
APP-051514,0.5307996420780254,0.46920035792197456,53.07996420780255,REVIEW_MANUAL,Low,High,loan sub-grade (lowers risk); debt-to-income ratio (raises risk); interest rate (raises risk),Charged Off,15000.0, 36 months,10.49,487.47,B,B3,2 years,RENT,34000.0,Source Verified,debt_consolidation,Debt consolidation,32.26,16.0,0.0,21510.0,51.8,38.0,f,INDIVIDUAL,0.0,0.0,Feb-2015,CT
APP-204070,0.43925910750233005,0.56074089249767,43.92591075023301,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); interest rate (raises risk); home ownership (raises risk),Fully Paid,7800.0, 36 months,11.67,257.85,B,B4,3 years,RENT,53500.0,Not Verified,debt_consolidation,Debt consolidation,20.39,10.0,0.0,12737.0,62.1,19.0,f,INDIVIDUAL,0.0,0.0,Jun-2014,IA
APP-349273,0.7779088211199251,0.2220911788800749,77.79088211199252,REJECT,High,High,loan sub-grade (raises risk); interest rate (lowers risk); 60-month term (raises risk),Charged Off,21200.0, 60 months,23.28,601.06,F,F2,9 years,MORTGAGE,54000.0,Source Verified,debt_consolidation,Debt Consolidation,20.5,12.0,0.0,14328.0,63.7,27.0,f,INDIVIDUAL,3.0,0.0,Aug-2012,AL
APP-377158,0.711142138638517,0.28885786136148295,71.1142138638517,REJECT,High,High,loan sub-grade (raises risk); interest rate (lowers risk); debt-to-income ratio (raises risk),Charged Off,5600.0, 36 months,19.22,205.9,D,D4,9 years,RENT,54000.0,Not Verified,other,my working loan app,28.16,12.0,0.0,12047.0,89.9,24.0,f,INDIVIDUAL,0.0,0.0,Dec-2013,AZ
APP-078047,0.3378523983827991,0.6621476016172009,33.785239838279914,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); interest rate (raises risk); has bankruptcy record (lowers risk),Fully Paid,10000.0, 36 months,10.64,325.69,B,B2,9 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,Consolidation,17.18,13.0,1.0,8016.0,50.7,22.0,f,INDIVIDUAL,1.0,1.0,Aug-2013,CO
APP-372166,0.5082915406071874,0.4917084593928126,50.82915406071874,REVIEW_MANUAL,Low,High,loan sub-grade (raises risk); interest rate (lowers risk); has bankruptcy record (lowers risk),Fully Paid,12000.0, 36 months,18.25,435.34,D,D3,10+ years,MORTGAGE,85000.0,Source Verified,debt_consolidation,Debt consolidation,14.3,20.0,1.0,17104.0,49.7,32.0,w,INDIVIDUAL,3.0,1.0,May-2014,OH
APP-060389,0.1719918529514741,0.8280081470485259,17.19918529514741,APPROVE,High,Low,loan sub-grade (lowers risk); interest rate (raises risk); debt-to-income ratio (lowers risk),Fully Paid,25000.0, 36 months,5.32,752.87,A,A1,10+ years,MORTGAGE,108000.0,Source Verified,credit_card,Credit card refinancing,11.29,11.0,0.0,43119.0,44.0,25.0,w,INDIVIDUAL,3.0,0.0,Aug-2015,NH
APP-094895,0.2833776211546429,0.7166223788453572,28.337762115464287,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); open credit lines (raises risk),Fully Paid,18000.0, 36 months,9.67,578.03,B,B1,7 years,MORTGAGE,100000.0,Verified,credit_card,Credit card refinancing,14.33,21.0,0.0,25104.0,43.6,39.0,w,INDIVIDUAL,4.0,0.0,Feb-2014,RI
APP-201939,0.8686514787275808,0.13134852127241925,86.86514787275807,REJECT,High,High,loan sub-grade (raises risk); interest rate (lowers risk); debt-to-income ratio (raises risk),Charged Off,10000.0, 60 months,23.13,282.66,F,F1,1 year,RENT,20000.0,Source Verified,credit_card,Credit card refinancing,33.61,33.0,0.0,23033.0,84.1,57.0,w,INDIVIDUAL,0.0,0.0,Feb-2016,MO
APP-068261,0.6973372566338735,0.30266274336612653,69.73372566338735,REVIEW_MANUAL,Medium,High,loan sub-grade (raises risk); interest rate (lowers risk); 60-month term (raises risk),Fully Paid,32600.0, 60 months,19.52,855.02,E,E2,10+ years,MORTGAGE,81609.33,Verified,debt_consolidation,Debt consolidation,24.34,16.0,0.0,31674.0,81.2,28.0,w,INDIVIDUAL,1.0,0.0,Oct-2014,IA
APP-365561,0.17910366231923164,0.8208963376807683,17.910366231923163,APPROVE,High,Low,loan sub-grade (lowers risk); interest rate (raises risk); annual income (lowers risk),Fully Paid,6000.0, 36 months,7.9,187.75,A,A4,< 1 year,MORTGAGE,145000.0,Verified,debt_consolidation,Debt Consolidation Loan,14.47,7.0,0.0,9495.0,84.0,29.0,f,INDIVIDUAL,10.0,0.0,Sep-2012,AA
APP-061839,0.20673041985158214,0.7932695801484179,20.673041985158214,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); debt-to-income ratio (lowers risk),Fully Paid,5000.0, 36 months,8.19,157.13,A,A5,< 1 year,MORTGAGE,55000.0,Not Verified,home_improvement,Home improvement,3.01,4.0,0.0,1427.0,15.9,6.0,f,INDIVIDUAL,1.0,0.0,Dec-2014,AR
APP-267264,0.4733995972867755,0.5266004027132245,47.33995972867755,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (raises risk); interest rate (lowers risk); 60-month term (raises risk),Fully Paid,25600.0, 60 months,19.99,678.11,E,E1,10+ years,MORTGAGE,113000.0,Source Verified,home_improvement,Home improvement,9.66,6.0,0.0,371.0,9.3,31.0,w,INDIVIDUAL,5.0,0.0,Mar-2016,GA
APP-375661,0.30376029471465865,0.6962397052853413,30.376029471465866,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); debt-to-income ratio (lowers risk); monthly installment (lowers risk),Charged Off,1200.0, 36 months,13.11,40.5,B,B4,3 years,OWN,26000.0,Not Verified,other,Car Repair,7.34,8.0,0.0,4218.0,51.4,14.0,f,INDIVIDUAL,0.0,0.0,Jul-2012,KS
APP-079847,0.4783077350823287,0.5216922649176713,47.83077350823287,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (raises risk); total credit lines (lowers risk); interest rate (lowers risk),Fully Paid,12000.0, 36 months,16.55,425.16,D,D2,10+ years,RENT,119000.0,Verified,house,Home buying,11.29,11.0,0.0,15339.0,49.0,62.0,w,INDIVIDUAL,0.0,0.0,Jul-2015,IL
APP-188531,0.21484415041312163,0.7851558495868783,21.484415041312165,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); annual income (lowers risk),Fully Paid,25000.0, 36 months,8.9,793.84,A,A5,10+ years,MORTGAGE,175000.0,Verified,credit_card,refinance loan,13.8,17.0,0.0,21370.0,38.5,33.0,f,INDIVIDUAL,2.0,0.0,Apr-2013,IA
APP-136473,0.2902657937668234,0.7097342062331766,29.02657937668234,APPROVE,High,Medium,loan sub-grade (lowers risk); debt-to-income ratio (lowers risk); revolving utilization (lowers risk),Fully Paid,10000.0, 36 months,12.49,334.49,B,B5,10+ years,MORTGAGE,80000.0,Verified,credit_card,Credit card refinancing,10.58,16.0,0.0,9696.0,22.1,25.0,f,INDIVIDUAL,3.0,0.0,Nov-2014,NJ
APP-173756,0.7210202884131482,0.27897971158685175,72.10202884131482,REJECT,High,High,loan sub-grade (raises risk); 60-month term (raises risk); interest rate (lowers risk),Charged Off,35000.0, 60 months,18.75,903.12,D,D3,8 years,MORTGAGE,108420.0,Verified,medical,Health Loan,24.96,16.0,0.0,54591.0,65.6,39.0,f,INDIVIDUAL,5.0,0.0,Nov-2012,RI
APP-321259,0.5995390553626111,0.4004609446373889,59.95390553626111,REVIEW_MANUAL,Low,High,debt-to-income ratio (raises risk); revolving utilization (raises risk); loan sub-grade (lowers risk),Fully Paid,22800.0, 36 months,14.33,782.91,C,C1,10+ years,RENT,51600.0,Verified,debt_consolidation,consolidate & other,34.12,9.0,0.0,7229.0,92.7,13.0,f,INDIVIDUAL,0.0,0.0,Apr-2013,KY
APP-286794,0.5679832987049898,0.43201670129501024,56.798329870498975,REVIEW_MANUAL,Low,High,loan sub-grade (raises risk); interest rate (lowers risk); high-risk grade (E/F/G) (lowers risk),Fully Paid,8500.0, 36 months,18.99,311.54,E,E1,2 years,MORTGAGE,65000.0,Source Verified,credit_card,Credit card refinancing,26.48,9.0,0.0,5939.0,52.6,10.0,w,INDIVIDUAL,1.0,0.0,Jul-2014,OK
APP-159848,0.7083617861719926,0.29163821382800736,70.83617861719927,REJECT,High,High,loan sub-grade (raises risk); interest rate (lowers risk); debt-to-income ratio (raises risk),Charged Off,4700.0, 36 months,19.52,173.53,D,D4,< 1 year,OWN,20800.0,Verified,debt_consolidation,Debt consolidation,29.31,6.0,0.0,5472.0,59.5,10.0,f,INDIVIDUAL,0.0,0.0,Jul-2013,MO
APP-324864,0.7593570108848586,0.24064298911514137,75.93570108848586,REJECT,High,High,loan sub-grade (raises risk); 60-month term (raises risk); interest rate (lowers risk),Charged Off,15000.0, 60 months,16.99,372.71,D,D1,8 years,RENT,53000.0,Source Verified,debt_consolidation,Debt consolidation,22.78,10.0,1.0,8876.0,46.5,26.0,f,INDIVIDUAL,1.0,0.0,Feb-2014,IA
APP-028273,0.6639192122088599,0.33608078779114015,66.39192122088599,REVIEW_MANUAL,Medium,High,loan sub-grade (raises risk); interest rate (lowers risk); 60-month term (raises risk),Charged Off,21600.0, 60 months,22.95,608.3,F,F1,2 years,MORTGAGE,54160.0,Verified,debt_consolidation,Credit consolidation,6.67,7.0,0.0,14573.0,44.0,21.0,f,INDIVIDUAL,1.0,0.0,Jan-2013,LA
APP-309848,0.5792577299958818,0.42074227000411824,57.925772999588176,REVIEW_MANUAL,Low,High,debt-to-income ratio (raises risk); home ownership (raises risk); employment length (raises risk),Charged Off,15000.0, 36 months,12.99,505.34,C,C2,< 1 year,RENT,102000.0,Verified,debt_consolidation,Debt consolidation,24.52,7.0,0.0,32421.0,77.0,31.0,f,INDIVIDUAL,0.0,0.0,Jan-2015,WV
APP-279174,0.4847674498979446,0.5152325501020554,48.47674498979446,APPROVE_WITH_CONDITIONS,Low,Medium,debt-to-income ratio (raises risk); loan sub-grade (lowers risk); open credit lines (raises risk),Fully Paid,17600.0, 36 months,13.11,593.95,B,B4,7 years,MORTGAGE,49000.0,Verified,debt_consolidation,help,34.94,23.0,0.0,32390.0,51.9,44.0,f,INDIVIDUAL,2.0,0.0,Jun-2013,WV
APP-225220,0.5203134949528282,0.4796865050471718,52.03134949528282,REVIEW_MANUAL,Low,High,loan sub-grade (raises risk); interest rate (lowers risk); home ownership (lowers risk),Fully Paid,7800.0, 36 months,18.25,282.97,D,D3,9 years,MORTGAGE,71000.0,Not Verified,debt_consolidation,Debt consolidation,18.71,6.0,0.0,9966.0,66.0,24.0,w,INDIVIDUAL,2.0,0.0,Mar-2014,IL
APP-340076,0.39648821407660423,0.6035117859233958,39.64882140766042,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); 60-month term (raises risk); interest rate (raises risk),Fully Paid,25500.0, 60 months,10.99,554.31,B,B3,2 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,Debt consolidation,18.72,7.0,0.0,25512.0,63.6,21.0,f,INDIVIDUAL,2.0,0.0,May-2014,AA
APP-141708,0.4859151140620456,0.5140848859379543,48.59151140620456,APPROVE_WITH_CONDITIONS,Low,Medium,debt-to-income ratio (raises risk); loan sub-grade (lowers risk); open credit lines (raises risk),Fully Paid,6400.0, 36 months,12.99,215.62,B,B5,4 years,MORTGAGE,55000.0,Source Verified,debt_consolidation,Debt consolidation,31.86,19.0,0.0,19322.0,51.4,21.0,f,INDIVIDUAL,1.0,0.0,Apr-2014,GA
APP-019665,0.4882682004165711,0.511731799583429,48.82682004165711,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (raises risk); interest rate (lowers risk); home ownership (lowers risk),Charged Off,16000.0, 36 months,18.92,585.85,D,D4,10+ years,MORTGAGE,92000.0,Not Verified,debt_consolidation,Debt consolidation,16.4,14.0,0.0,34750.0,57.7,37.0,w,INDIVIDUAL,4.0,0.0,Apr-2014,ND
APP-058908,0.6009792611054421,0.3990207388945579,60.09792611054421,REVIEW_MANUAL,Medium,High,loan sub-grade (raises risk); interest rate (lowers risk); revolving utilization (raises risk),Fully Paid,9975.0, 36 months,17.57,358.48,D,D2,,OWN,44000.0,Verified,credit_card,Credit card refinancing,20.73,10.0,0.0,29200.0,89.0,28.0,w,INDIVIDUAL,7.0,0.0,Feb-2014,TX
APP-288621,0.5361245249517995,0.4638754750482005,53.61245249517995,REVIEW_MANUAL,Low,High,loan sub-grade (raises risk); revolving utilization (lowers risk); interest rate (lowers risk),Charged Off,8275.0, 36 months,16.55,293.18,D,D2,< 1 year,RENT,70000.0,Verified,debt_consolidation,Debt consolidation,9.93,9.0,0.0,2610.0,6.9,20.0,f,INDIVIDUAL,0.0,0.0,Dec-2015,MI
APP-205398,0.23406367360009148,0.7659363263999085,23.40636736000915,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); has public record (raises risk),Fully Paid,12000.0, 36 months,6.99,370.48,A,A3,1 year,MORTGAGE,98000.0,Not Verified,debt_consolidation,Debt consolidation,17.56,12.0,1.0,18600.0,37.3,29.0,w,INDIVIDUAL,3.0,0.0,Jan-2015,NM
APP-184220,0.18313850659702088,0.8168614934029791,18.313850659702087,APPROVE,High,Low,loan sub-grade (lowers risk); interest rate (raises risk); revolving utilization (lowers risk),Fully Paid,1500.0, 36 months,6.03,45.66,A,A1,< 1 year,RENT,60000.0,Source Verified,credit_card,Credit card refinancing,9.12,8.0,1.0,1045.0,8.9,26.0,w,INDIVIDUAL,0.0,1.0,Oct-2014,IN
APP-068021,0.24709713210964038,0.7529028678903597,24.709713210964036,APPROVE,High,Medium,loan sub-grade (lowers risk); interest rate (raises risk); loan issue year (lowers risk),Fully Paid,10000.0, 36 months,8.07,313.69,A,A4,< 1 year,RENT,24600.0,Not Verified,debt_consolidation,Lending Club,9.95,6.0,0.0,8522.0,21.7,16.0,f,INDIVIDUAL,,,Jan-2008,WI
